Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile
1,David Johnson,RB1,1.0,David Johnson,david johnson,RB,2017,1,1.0
3,Antonio Brown,WR1,3.0,Antonio Brown,antonio brown,WR,2017,2,0.9971751412429378
4,Julio Jones,WR2,4.0,Julio Jones,julio jones,WR,2017,3,0.9943502824858758
5,Odell Beckham Jr.,WR3,5.2,Odell Beckham Jr.,odell beckham jr,WR,2017,4,0.9915254237288136
6,LeSean McCoy,RB3,6.4,LeSean McCoy,lesean mccoy,RB,2017,5,0.9887005649717514
7,Mike Evans,WR4,7.0,Mike Evans,mike evans,WR,2017,6,0.9858757062146892
8,A.J. Green,WR5,8.6,A.J. Green,aj green,WR,2017,7,0.9830508474576272
9,Devonta Freeman,RB4,9.4,Devonta Freeman,devonta freeman,RB,2017,8,0.980225988700565
10,Melvin Gordon,RB5,9.6,Melvin Gordon,melvin gordon,RB,2017,9,0.9774011299435028
11,Jordy Nelson,WR6,10.4,Jordy Nelson,jordy nelson,WR,2017,10,0.9745762711864406
12,Michael Thomas,WR7,12.0,Michael Thomas,michael thomas,WR,2017,11,0.9717514124293786
13,Jordan Howard,RB6,14.4,Jordan Howard,jordan howard,RB,2017,12,0.9689265536723164
14,DeMarco Murray,RB7,14.4,DeMarco Murray,demarco murray,RB,2017,12,0.9689265536723164
15,Jay Ajayi,RB8,15.0,Jay Ajayi,jay ajayi,RB,2017,13,0.9661016949152542
16,Ezekiel Elliott,RB9,15.4,Ezekiel Elliott,ezekiel elliott,RB,2017,14,0.963276836158192
17,Amari Cooper,WR8,18.0,Amari Cooper,amari cooper,WR,2017,15,0.96045197740113
18,Todd Gurley,RB10,18.6,Todd Gurley,todd gurley,RB,2017,16,0.9576271186440678
19,Brandin Cooks,WR9,19.8,Brandin Cooks,brandin cooks,WR,2017,17,0.9548022598870056
20,Rob Gronkowski,TE1,19.8,Rob Gronkowski,rob gronkowski,TE,2017,17,0.9548022598870056
21,Dez Bryant,WR10,20.2,Dez Bryant,dez bryant,WR,2017,18,0.9519774011299436
22,Aaron Rodgers,QB1,22.8,Aaron Rodgers,aaron rodgers,QB,2017,19,0.9491525423728814
23,Doug Baldwin,WR11,22.8,Doug Baldwin,doug baldwin,WR,2017,19,0.9491525423728814
24,Leonard Fournette,RB11,24.8,Leonard Fournette,leonard fournette,RB,2017,20,0.9463276836158192
25,T.Y. Hilton,WR12,26.2,T.Y. Hilton,ty hilton,WR,2017,21,0.943502824858757
26,Christian McCaffrey,RB12,27.2,Christian McCaffrey,christian mccaffrey,RB,2017,22,0.940677966101695
27,DeAndre Hopkins,WR13,28.2,DeAndre Hopkins,deandre hopkins,WR,2017,23,0.9378531073446328
28,Demaryius Thomas,WR14,30.2,Demaryius Thomas,demaryius thomas,WR,2017,24,0.9350282485875706
29,Lamar Miller,RB13,30.6,Lamar Miller,lamar miller,RB,2017,25,0.9322033898305084
30,Tom Brady,QB2,30.8,Tom Brady,tom brady,QB,2017,26,0.9293785310734464
31,Keenan Allen,WR15,32.6,Keenan Allen,keenan allen,WR,2017,27,0.9265536723163842
32,Terrelle Pryor Sr.,WR16,33.4,Terrelle Pryor Sr.,terrelle pryor sr,WR,2017,28,0.923728813559322
33,Isaiah Crowell,RB14,33.8,Isaiah Crowell,isaiah crowell,RB,2017,29,0.9209039548022598
34,Dalvin Cook,RB15,34.2,Dalvin Cook,dalvin cook,RB,2017,30,0.9180790960451978
35,Marshawn Lynch,RB16,35.8,Marshawn Lynch,marshawn lynch,RB,2017,31,0.9152542372881356
36,Travis Kelce,TE2,36.0,Travis Kelce,travis kelce,TE,2017,32,0.9124293785310734
37,Alshon Jeffery,WR17,37.0,Alshon Jeffery,alshon jeffery,WR,2017,33,0.9096045197740112
