Rank,Player,POS,CBS,AVG,Player_fixed,player_clean,POS_group,year
1,Todd Gurley,RB1,1.0,1.0,Todd Gurley,todd gurley,RB,2018
3,David Johnson,RB3,3.0,3.2,David Johnson,david johnson,RB,2018
4,Ezekiel Elliott,RB4,4.0,3.6,Ezekiel Elliott,ezekiel elliott,RB,2018
5,Antonio Brown,WR1,5.0,5.4,Antonio Brown,antonio brown,WR,2018
6,Saquon Barkley,RB5,6.0,6.2,Saquon Barkley,saquon barkley,RB,2018
7,Alvin Kamara,RB6,7.0,6.4,Alvin Kamara,alvin kamara,RB,2018
8,Leonard Fournette,RB7,9.0,8.4,Leonard Fournette,leonard fournette,RB,2018
9,Kareem Hunt,RB8,8.0,9.0,Kareem Hunt,kareem hunt,RB,2018
10,DeAndre Hopkins,WR2,11.0,10.2,DeAndre Hopkins,deandre hopkins,WR,2018
11,Melvin Gordon,RB9,10.0,10.4,Melvin Gordon,melvin gordon,RB,2018
12,dell Beckham Jr.,WR3,12.0,12.0,dell Beckham Jr.,dell beckham jr,WR,2018
13,Dalvin Cook,RB10,14.0,13.6,Dalvin Cook,dalvin cook,RB,2018
14,Julio Jones,WR4,15.0,14.4,Julio Jones,julio jones,WR,2018
15,Christian McCaffrey,RB11,13.0,15.0,Christian McCaffrey,christian mccaffrey,RB,2018
16,Michael Thomas,WR5,18.0,17.4,Michael Thomas,michael thomas,WR,2018
17,Devonta Freeman,RB12,16.0,17.6,Devonta Freeman,devonta freeman,RB,2018
18,Davante Adams,WR6,19.0,17.8,Davante Adams,davante adams,WR,2018
19,Keenan Allen,WR7,21.0,19.0,Keenan Allen,keenan allen,WR,2018
20,Jordan Howard,RB13,24.0,21.0,Jordan Howard,jordan howard,RB,2018
21,Rob Gronkowski,TE1,20.0,21.6,Rob Gronkowski,rob gronkowski,TE,2018
22,A.J. Green ,WR8,22.0,21.6,A.J. Green ,aj green,WR,2018
23,Joe Mixon,RB14,27.0,23.8,Joe Mixon,joe mixon,RB,2018
24,Aaron Rodgers,QB1,17.0,24.0,Aaron Rodgers,aaron rodgers,QB,2018
25,Mike Evans,WR9,30.0,25.6,Mike Evans,mike evans,WR,2018
26,LeSean McCoy,RB15,23.0,26.0,LeSean McCoy,lesean mccoy,RB,2018
27,Tyreek Hill,WR10,32.0,27.0,Tyreek Hill,tyreek hill,WR,2018
28,Travis Kelce,TE2,25.0,28.2,Travis Kelce,travis kelce,TE,2018
29,Stefon Diggs,WR11,31.0,30.2,Stefon Diggs,stefon diggs,WR,2018
30,T.Y. Hilton,WR12,34.0,31.0,T.Y. Hilton,ty hilton,WR,2018
31,Alex Collins ,RB16,35.0,33.2,Alex Collins ,alex collins,RB,2018
32,Adam Thielen,WR13,39.0,34.4,Adam Thielen,adam thielen,WR,2018
33,Kenyan Drake,RB17,37.0,35.2,Kenyan Drake,kenyan drake,RB,2018
34,Amari Cooper,WR14,36.0,35.4,Amari Cooper,amari cooper,WR,2018
35,Derrick Henry,RB18,41.0,35.8,Derrick Henry,derrick henry,RB,2018
36,Deshaun Watson,QB2,29.0,37.4,Deshaun Watson,deshaun watson,QB,2018
37,Jay Ajayi ,RB19,46.0,39.4,Jay Ajayi ,jay ajayi,RB,2018
38,Doug Baldwin,WR15,44.0,39.6,Doug Baldwin,doug baldwin,WR,2018
39,Zach Ertz,TE3,38.0,39.8,Zach Ertz,zach ertz,TE,2018
40,Royce Freeman,RB20,33.0,41.0,Royce Freeman,royce freeman,RB,2018
41,JuJu Smith-Schuster,WR16,47.0,42.0,JuJu Smith-Schuster,juju smith-schuster,WR,2018
