Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile,adp_rank_pos,adp_percentile_pos
1,Jonathan Taylor,RB1,1.0,Jonathan Taylor,jonathan taylor,RB,2022,1,1.0,1,1.0
2,Christian McCaffrey,RB2,2.0,Christian McCaffrey,christian mccaffrey,RB,2022,2,0.9966216216216216,2,0.9887640449438202
3,Austin Ekeler,RB3,3.8,Austin Ekeler,austin ekeler,RB,2022,3,0.9932432432432432,3,0.9775280898876404
4,Cooper Kupp,WR1,4.0,Cooper Kupp,cooper kupp,WR,2022,4,0.9898648648648649,1,1.0
5,Derrick Henry,RB4,5.3,Derrick Henry,derrick henry,RB,2022,5,0.9864864864864865,4,0.9662921348314607
6,Justin Jefferson,WR2,5.5,Justin Jefferson,justin jefferson,WR,2022,6,0.9831081081081081,2,0.9901960784313726
7,Dalvin Cook,RB5,7.5,Dalvin Cook,dalvin cook,RB,2022,7,0.9797297297297297,5,0.9550561797752809
8,Najee Harris,RB6,8.0,Najee Harris,najee harris,RB,2022,8,0.9763513513513513,6,0.9438202247191011
9,Ja'Marr Chase,WR3,8.3,Ja'Marr Chase,jamarr chase,WR,2022,9,0.972972972972973,3,0.9803921568627451
10,Joe Mixon,RB7,10.3,Joe Mixon,joe mixon,RB,2022,10,0.9695945945945946,7,0.9325842696629214
11,Davante Adams,WR4,12.3,Davante Adams,davante adams,WR,2022,11,0.9662162162162162,4,0.9705882352941176
12,Stefon Diggs,WR5,12.5,Stefon Diggs,stefon diggs,WR,2022,12,0.9628378378378378,5,0.9607843137254902
13,Alvin Kamara,RB8,13.3,Alvin Kamara,alvin kamara,RB,2022,13,0.9594594594594594,8,0.9213483146067416
14,Travis Kelce,TE1,15.0,Travis Kelce,travis kelce,TE,2022,14,0.956081081081081,1,1.0
15,D'Andre Swift,RB9,15.5,D'Andre Swift,dandre swift,RB,2022,15,0.9527027027027027,9,0.9101123595505618
16,Deebo Samuel Sr.,WR6,17.0,Deebo Samuel Sr.,deebo samuel sr,WR,2022,16,0.9493243243243243,6,0.9509803921568627
17,Aaron Jones Sr.,RB10,19.5,Aaron Jones Sr.,aaron jones sr,RB,2022,17,0.9459459459459459,10,0.898876404494382
18,CeeDee Lamb,WR7,19.5,CeeDee Lamb,ceedee lamb,WR,2022,17,0.9459459459459459,7,0.9411764705882353
19,Tyreek Hill,WR8,19.8,Tyreek Hill,tyreek hill,WR,2022,18,0.9425675675675675,8,0.9313725490196079
20,Nick Chubb,RB11,20.0,Nick Chubb,nick chubb,RB,2022,19,0.9391891891891891,11,0.8876404494382022
21,Saquon Barkley,RB12,20.3,Saquon Barkley,saquon barkley,RB,2022,20,0.9358108108108109,12,0.8764044943820225
22,Josh Allen,QB1,20.8,Josh Allen,josh allen,QB,2022,21,0.9324324324324325,1,1.0
23,Mark Andrews,TE2,21.8,Mark Andrews,mark andrews,TE,2022,22,0.9290540540540541,2,0.9761904761904762
24,Leonard Fournette,RB13,22.0,Leonard Fournette,leonard fournette,RB,2022,23,0.9256756756756757,13,0.8651685393258427
25,Javonte Williams,RB14,22.8,Javonte Williams,javonte williams,RB,2022,24,0.9222972972972973,14,0.8539325842696629
26,Mike Evans,WR9,26.8,Mike Evans,mike evans,WR,2022,25,0.9189189189189189,9,0.9215686274509804
27,Keenan Allen,WR10,28.3,Keenan Allen,keenan allen,WR,2022,26,0.9155405405405406,10,0.9117647058823529
28,James Conner,RB15,29.3,James Conner,james conner,RB,2022,27,0.9121621621621622,15,0.8426966292134832
29,Patrick Mahomes II,QB2,29.8,Patrick Mahomes II,patrick mahomes ii,QB,2022,28,0.9087837837837838,2,0.972972972972973
30,Ezekiel Elliott,RB16,30.3,Ezekiel Elliott,ezekiel elliott,RB,2022,29,0.9054054054054054,16,0.8314606741573034
31,A.J. Brown,WR11,30.8,A.J. Brown,aj brown,WR,2022,30,0.902027027027027,11,0.9019607843137255
32,Kyle Pitts Sr.,TE3,32.8,Kyle Pitts Sr.,kyle pitts sr,TE,2022,31,0.8986486486486487,3,0.9523809523809523
33,Michael Pittman Jr.,WR12,33.5,Michael Pittman Jr.,michael pittman jr,WR,2022,32,0.8952702702702703,12,0.892156862745098
34,Tee Higgins,WR13,33.8,Tee Higgins,tee higgins,WR,2022,33,0.8918918918918919,13,0.8823529411764706
35,Justin Herbert,QB3,34.5,Justin Herbert,justin herbert,QB,2022,34,0.8885135135135135,3,0.9459459459459459
36,David Montgomery,RB17,36.5,David Montgomery,david montgomery,RB,2022,35,0.8851351351351351,17,0.8202247191011236
37,Cam Akers,RB18,39.8,Cam Akers,cam akers,RB,2022,36,0.8817567567567568,18,0.8089887640449438
38,George Kittle,TE4,39.8,George Kittle,george kittle,TE,2022,36,0.8817567567567568,4,0.9285714285714286
39,Travis Etienne Jr.,RB19,40.5,Travis Etienne Jr.,travis etienne jr,RB,2022,37,0.8783783783783784,19,0.797752808988764
40,Terry McLaurin,WR14,41.0,Terry McLaurin,terry mclaurin,WR,2022,38,0.875,14,0.8725490196078431
41,Lamar Jackson,QB4,43.5,Lamar Jackson,lamar jackson,QB,2022,39,0.8716216216216216,4,0.9189189189189189
42,DJ Moore,WR15,43.8,DJ Moore,dj moore,WR,2022,40,0.8682432432432432,15,0.8627450980392157
43,Diontae Johnson,WR16,43.8,Diontae Johnson,diontae johnson,WR,2022,40,0.8682432432432432,15,0.8627450980392157
44,Darren Waller,TE5,44.8,Darren Waller,darren waller,TE,2022,41,0.8648648648648649,5,0.9047619047619048
45,Mike Williams,WR17,46.0,Mike Williams,mike williams,WR,2022,42,0.8614864864864865,16,0.8529411764705882
46,Jaylen Waddle,WR18,47.3,Jaylen Waddle,jaylen waddle,WR,2022,43,0.8581081081081081,17,0.8431372549019608
47,DK Metcalf,WR19,48.3,DK Metcalf,dk metcalf,WR,2022,44,0.8547297297297297,18,0.8333333333333334
48,Josh Jacobs,RB20,49.5,Josh Jacobs,josh jacobs,RB,2022,45,0.8513513513513513,20,0.7865168539325843
49,Elijah Mitchell,RB21,52.0,Elijah Mitchell,elijah mitchell,RB,2022,46,0.847972972972973,21,0.7752808988764045
50,J.K. Dobbins,RB22,52.0,J.K. Dobbins,jk dobbins,RB,2022,46,0.847972972972973,21,0.7752808988764045
51,Breece Hall,RB23,52.3,Breece Hall,breece hall,RB,2022,47,0.8445945945945946,22,0.7640449438202247
52,Kyler Murray,QB5,53.8,Kyler Murray,kyler murray,QB,2022,48,0.8412162162162162,5,0.8918918918918919
53,Jalen Hurts,QB6,55.3,Jalen Hurts,jalen hurts,QB,2022,49,0.8378378378378378,6,0.8648648648648649
54,Brandin Cooks,WR20,56.0,Brandin Cooks,brandin cooks,WR,2022,50,0.8344594594594594,19,0.8235294117647058
55,Dalton Schultz,TE6,57.3,Dalton Schultz,dalton schultz,TE,2022,51,0.8310810810810811,6,0.8809523809523809
56,Courtland Sutton,WR21,58.0,Courtland Sutton,courtland sutton,WR,2022,52,0.8277027027027027,20,0.8137254901960784
57,Joe Burrow,QB7,60.3,Joe Burrow,joe burrow,QB,2022,53,0.8243243243243243,7,0.8378378378378378
58,Marquise Brown,WR22,61.5,Marquise Brown,marquise brown,WR,2022,54,0.8209459459459459,21,0.803921568627451
59,Chris Godwin,WR23,61.8,Chris Godwin,chris godwin,WR,2022,55,0.8175675675675675,22,0.7941176470588236
60,Allen Robinson II ,WR24,62.8,Allen Robinson II ,allen robinson ii,WR,2022,56,0.8141891891891893,23,0.7843137254901961
61,Amon-Ra St. Brown,WR25,63.5,Amon-Ra St. Brown,amon-ra st brown,WR,2022,57,0.8108108108108107,24,0.7745098039215687
62,Clyde Edwards-Helaire,RB24,64.0,Clyde Edwards-Helaire,clyde edwards-helaire,RB,2022,58,0.8074324324324325,23,0.752808988764045
63,Antonio Gibson,RB25,64.8,Antonio Gibson,antonio gibson,RB,2022,59,0.8040540540540541,24,0.7415730337078652
64,Jerry Jeudy,WR26,65.8,Jerry Jeudy,jerry jeudy,WR,2022,60,0.8006756756756757,25,0.7647058823529411
65,T.J. Hockenson,TE7,65.8,T.J. Hockenson,tj hockenson,TE,2022,60,0.8006756756756757,7,0.8571428571428572
66,Gabe Davis,WR27,67.3,Gabe Davis,gabe davis,WR,2022,61,0.7972972972972973,26,0.7549019607843137
67,A.J. Dillon,RB26,67.8,A.J. Dillon,aj dillon,RB,2022,62,0.7939189189189189,25,0.7303370786516854
68,Amari Cooper,WR28,67.8,Amari Cooper,amari cooper,WR,2022,62,0.7939189189189189,27,0.7450980392156863
69,Dallas Goedert,TE8,70.5,Dallas Goedert,dallas goedert,TE,2022,63,0.7905405405405406,8,0.8333333333333334
70,Tom Brady,QB8,72.0,Tom Brady,tom brady,QB,2022,64,0.7871621621621622,8,0.8108108108108107
71,Adam Thielen,WR29,73.3,Adam Thielen,adam thielen,WR,2022,65,0.7837837837837838,28,0.7352941176470589
72,Darnell Mooney,WR30,73.5,Darnell Mooney,darnell mooney,WR,2022,66,0.7804054054054054,29,0.7254901960784313
73,JuJu Smith-Schuster,WR31,74.3,JuJu Smith-Schuster,juju smith-schuster,WR,2022,67,0.777027027027027,30,0.7156862745098039
74,Russell Wilson,QB9,77.5,Russell Wilson,russell wilson,QB,2022,68,0.7736486486486487,9,0.7837837837837838
75,Michael Thomas ,WR32,80.0,Michael Thomas ,michael thomas,WR,2022,69,0.7702702702702703,31,0.7058823529411764
76,Aaron Rodgers,QB10,80.3,Aaron Rodgers,aaron rodgers,QB,2022,70,0.7668918918918919,10,0.7567567567567568
77,Dak Prescott,QB11,82.0,Dak Prescott,dak prescott,QB,2022,71,0.7635135135135135,11,0.7297297297297297
78,Devin Singletary,RB27,82.5,Devin Singletary,devin singletary,RB,2022,72,0.7601351351351351,26,0.7191011235955056
79,Hunter Renfrow,WR33,83.3,Hunter Renfrow,hunter renfrow,WR,2022,73,0.7567567567567568,32,0.696078431372549
80,DeAndre Hopkins,WR34,83.3,DeAndre Hopkins,deandre hopkins,WR,2022,73,0.7567567567567568,32,0.696078431372549
81,Dameon Pierce,RB28,83.5,Dameon Pierce,dameon pierce,RB,2022,74,0.7533783783783784,27,0.7078651685393258
