Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year
1,David Johnson*+,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,5,3,20,1.0,,328,407.8,416.8,367.8,191.0,1,1.0,David Johnson,david johnson,RB,RB,ARI,2016,1.0
2,Ezekiel Elliott*+,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,5,1,16,,,293,325.4,332.4,309.4,156.0,2,2.0,Ezekiel Elliott,ezekiel elliott,RB,RB,DAL,2016,5.0
3,Aaron Rodgers*,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,,0,8,4,4,1.0,1.0,380,380.0,397.0,387.0,119.0,1,3.0,Aaron Rodgers,aaron rodgers,QB,QB,GNB,2016,2.0
4,LeSean McCoy*,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,3,0,14,1.0,,248,298.3,304.3,273.3,111.0,3,4.0,LeSean McCoy,lesean mccoy,RB,RB,BUF,2016,12.0
5,Le'Veon Bell*,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,4,1,9,1.0,,242,317.4,324.4,279.9,105.0,4,5.0,Le'Veon Bell,leveon bell,RB,RB,PIT,2016,6.0
6,DeMarco Murray*,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,3,1,12,,,241,293.8,300.8,267.3,104.0,5,6.0,DeMarco Murray,demarco murray,RB,RB,TEN,2016,14.0
7,Devonta Freeman*,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,1,1,13,,,230,284.1,291.1,257.1,93.0,6,7.0,Devonta Freeman,devonta freeman,RB,RB,ATL,2016,16.0
8,LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,2,1,18,,,226,232.9,236.9,229.4,89.0,7,8.0,LeGarrette Blount,legarrette blount,RB,RB,NWE,2016,41.0
9,Matt Ryan*+,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,,0,4,2,0,1.0,1.0,347,347.5,362.5,354.5,87.0,2,9.0,Matt Ryan,matt ryan,QB,QB,ATL,2016,3.0
10,Mike Evans*,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,0,0,12,2.0,,208,304.1,307.1,256.1,82.0,1,10.0,Mike Evans,mike evans,WR,WR,TAM,2016,10.0
11,Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,1,1,14,,,208,304.7,308.7,256.2,82.0,2,11.0,Jordy Nelson,jordy nelson,WR,WR,GNB,2016,9.0
12,Antonio Brown*+,PIT,WR,28,15,15,0,0,0,0,0,3,9,3.0,0,154,106,1284,12.11,12,0,0,12,,,201,307.3,310.3,254.3,75.0,3,12.0,Antonio Brown,antonio brown,WR,WR,PIT,2016,8.0
13,Melvin Gordon*,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,2,2,12,,,210,250.6,258.6,230.1,73.0,8,13.0,Melvin Gordon,melvin gordon,RB,RB,SDG,2016,33.0
