season,playerId,player,position,team,conference,category,statType,stat
2020,4428331,Rashee Rice,WR,SMU,American Athletic,receiving,TD,5
2020,4241222,Charlie Brewer,QB,Baylor,Big 12,rushing,TD,4
2020,4361732,Shocky Jacques-Louis,WR,Pittsburgh,ACC,defensive,SOLO,2
2020,4362650,Jaray Jenkins,WR,LSU,SEC,receiving,YDS,397
2020,4685186,Tyler Van Dyke,QB,Miami,ACC,rushing,YDS,-7
2020,4040434,Israel Tucker,RB,Louisiana Tech,Conference USA,receiving,TD,0
2020,4429527,King Doerue,RB,Purdue,Big Ten,rushing,CAR,16
2020,4365484,Noah Frith,WR,Liberty,FBS Independents,receiving,TD,2
2020,4038444,Landon Wolf,WR,Oklahoma State,Big 12,defensive,SACKS,0
2020,4570243,Kairee Robinson,RB,San José State,Mountain West,receiving,TD,0
2020,4361607,Andrew Peasley,QB,Utah State,Mountain West,rushing,YDS,195
2020,4689918,Zach Rasmussen,TE,UL Monroe,Sun Belt,defensive,TD,0
2020,4047652,Jacob Mathis,TE,South Florida,American Athletic,receiving,REC,2
2020,4361741,Brock Purdy,QB,Iowa State,Big 12,passing,INT,9
2020,4569325,Dezmon Jackson,RB,Oklahoma State,Big 12,rushing,CAR,100
2020,4291693,Terrance Dixon,WR,Georgia State,Sun Belt,defensive,TD,0
2020,4036863,Billy Humphreys,TE,San José State,Mountain West,receiving,YDS,19
2020,4240703,Kenny Pickett,QB,Pittsburgh,ACC,rushing,YDS,162
2020,4427960,Terrell McDonald,TE,UAB,Conference USA,receiving,TD,0
2020,4374303,JT Daniels,QB,Georgia,SEC,passing,INT,2
2020,4430185,Caullin Lacy,WR,South Alabama,Sun Belt,rushing,YDS,112
2020,4242494,Cyrus Habibi-Likio,RB,Oregon,Pac-12,fumbles,FUM,1
2020,4243928,Jaetavian Toles,WR,Tulane,American Athletic,defensive,TFL,0
2020,4390104,Keke Chism,WR,Missouri,SEC,receiving,YDS,458
2020,4431058,Lavel Davis,WR,Virginia,ACC,defensive,SACKS,0
2020,4570250,Trevor Wilson,WR,Buffalo,Mid-American,receiving,REC,15
2020,4248312,Myron Mason,RB,Missouri State,MVFC,defensive,SACKS,0
2020,4241416,Chuba Hubbard,RB,Oklahoma State,Big 12,defensive,PD,0
2020,4045291,Taysir Mack,WR,Pittsburgh,ACC,defensive,QB HUR,0
2020,4052238,Cee Jay Powell,WR,Louisiana Tech,Conference USA,defensive,TOT,4
2020,4428765,Masen Wake,TE,BYU,FBS Independents,rushing,YDS,15
2020,4427625,Amari Johnson,WR,UCF,American Athletic,fumbles,LOST,0
2020,4259592,Sean Clifford,QB,Penn State,Big Ten,passing,TD,16
2020,4261912,Brenden Knox,RB,Marshall,Conference USA,defensive,QB HUR,0
2020,4430325,Makai Polk,WR,California,Pac-12,receiving,REC,17
2020,4255936,Brendan Manigo,RB,San José State,Mountain West,defensive,TFL,0
2020,4570674,Kevin Harris,RB,South Carolina,SEC,rushing,TD,14
2020,4570519,Terrion Avery,RB,South Alabama,Sun Belt,receiving,TD,0
2020,4429153,Lideatrick Griffin,WR,Mississippi State,SEC,kickReturns,YDS,261
2020,4258189,Oliver Martin,WR,Nebraska,Big Ten,puntReturns,TD,0
2020,4243176,Brady Russell,TE,Colorado,Pac-12,receiving,REC,5
2020,4575668,Gavin Hardison,QB,UTEP,Conference USA,passing,TD,5
2020,4571364,Hajj-Malik Williams,QB,Campbell,Big South,fumbles,LOST,1
2020,4240028,Tamorrion Terry,WR,Florida State,ACC,defensive,TFL,0
2020,4039008,Kamari Pleasant,RB,Washington,Pac-12,receiving,REC,8
2020,4243816,Jordan Merrell,WR,Florida Atlantic,Conference USA,rushing,TD,0
2020,4241988,Trevon Grimes,WR,Florida,SEC,receiving,REC,38
2020,4051055,Andrew Haidet,QB,Northern Illinois,Mid-American,rushing,TD,1
2020,4430591,Charvis Thornton,RB,Louisiana Tech,Conference USA,defensive,PD,0
2020,4240756,Tanner Morgan,QB,Minnesota,Big Ten,passing,YDS,1374
2020,4052238,Cee Jay Powell,WR,Louisiana Tech,Conference USA,receiving,TD,0
2020,4693798,Koali Nishigaya,WR,Hawai'i,Mountain West,receiving,TD,0
2020,4371846,Tyger Goslin,RB,Navy,American Athletic,rushing,TD,0
2020,4430885,Ja'Khi Douglas,WR,Florida State,ACC,puntReturns,TD,0
2020,4360689,Tyler Shough,QB,Oregon,Pac-12,rushing,YDS,271
