player,position,season,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
A Barnwell,RB,2015,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,2,2,0,-4,-2.0
A'Darius Purifoy,WR,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,2,1,0,2,2.0,0,0,0,0,0.0
A'Darius Purifoy,WR,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,20,2,0,25,12.5,0,0,0,0,0.0
A'Jae Boyd,WR,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,1,0,0,-11,-11.0
A'Jae Boyd,WR,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,9,2,0,12,6.0,0,0,0,0,0.0
A'Jae Boyd,WR,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,32,1,0,32,32.0,0,0,0,0,0.0
A'Jae Boyd,WR,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,32,2,0,43,21.5,0,0,0,0,0.0
A'Jon Vivens,RB,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,0,1,1.0,46,30,1,208,4.5
A'Jon Vivens,RB,2021,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,21,10,0,73,7.3,90,36,0,324,3.6
A'Jon Vivens,RB,2022,2,2,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,19,4,0,26,6.5,39,10,0,104,2.7
A'Marion Peterson,RB,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,2,9,0,14,7.0
A'Marion Peterson,RB,2024,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,9,2,0,13,6.5,16,14,1,65,4.1
A'Montae Spivey,RB,2019,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,7,11,0,24,3.4
A'Montae Spivey,RB,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,4,5,0,11,2.8
A'lencio Graham,RB,2017,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,1,0,0,-4,-4.0
A.D. Miller,WR,2015,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,12,2,0,16,8.0,0,0,0,0,0.0
A.D. Miller,WR,2016,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,36,12,2,145,12.1,0,0,0,0,0.0
A.D. Miller,WR,2018,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,17,7,2,85,12.1,0,0,0,0,0.0
A.D. Miller,WR,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,40,6,0,118,19.7,0,0,0,0,0.0
A.J. Abbott,WR,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,9,2,0,12,6.0,0,0,0,0,0.0
A.J. Abbott,WR,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,7,1,0,7,7.0,0,0,0,0,0.0
A.J. Abbott,WR,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,31,5,1,61,12.2,0,0,0,0,0.0
A.J. Alexander,TE,2016,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,9,4,0,27,6.8,0,0,0,0,0.0
A.J. Alexander,TE,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,9,3,0,15,5.0,0,0,0,0,0.0
A.J. Barner,TE,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,76,14,1,162,11.6,0,0,0,0,0.0
A.J. Barner,TE,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,43,27,3,193,7.1,0,0,0,0,0.0
A.J. Barner,TE,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,22,22,1,249,11.3,0,0,0,0,0.0
A.J. Branisel,TE,2016,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,29,12,4,163,13.6,0,0,0,0,0.0
A.J. Brown,WR,2016,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,37,29,2,412,14.2,0,0,0,0,0.0
A.J. Brown,WR,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,77,75,11,1252,16.7,0,0,0,0,0.0
A.J. Brown,WR,2018,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,84,85,6,1355,15.9,0,0,0,0,0.0
A.J. Carter,RB,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,4,8,0,12,3.0
A.J. Carter,RB,2019,3,3,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,16,2,0,25,12.5,19,15,0,50,2.6
A.J. Coney,WR,2015,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,42,11,0,125,11.4,0,0,0,0,0.0
A.J. Coney,WR,2016,2,2,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,23,15,1,173,11.5,0,0,0,0,0.0
A.J. Coney,WR,2017,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,33,43,3,551,12.8,0,0,0,0,0.0
