,Player_fixed,POS_group,merge_year,per_game_perf_rel_expectations,AVG_ADP,ppg_Fantasy_PPR
0,Aaron Rodgers,QB,2016.0,5.471796785212664,40.5,23.75
1,Alex Smith,QB,2016.0,-0.8050198714461221,227.7,14.986666666666668
2,Andrew Luck,QB,2016.0,2.5464711578024755,53.5,20.51333333333333
3,Andy Dalton,QB,2016.0,1.5684863994254332,154.0,16.2875
4,Ben Roethlisberger,QB,2016.0,0.4205534514641442,70.0,18.014285714285712
5,Blaine Gabbert,QB,2016.0,-0.9976522897863608,274.0,12.283333333333331
6,Blake Bortles,QB,2016.0,-0.1055351690036623,92.3,16.94375
7,Brian Hoyer,QB,2016.0,6.604480723675571,367.5,13.266666666666666
8,Brock Osweiler,QB,2016.0,-4.803869133085252,205.8,11.266666666666667
9,Cam Newton,QB,2016.0,-1.4726087530485472,34.3,16.953333333333333
10,Carson Palmer,QB,2016.0,-1.2127077115365097,80.3,16.206666666666667
11,Case Keenum,QB,2016.0,-1.326726437518877,285.0,11.11
12,Colin Kaepernick,QB,2016.0,8.684248610857034,342.5,16.7
13,Derek Carr,QB,2016.0,1.543038500598616,111.3,17.9
14,Drew Brees,QB,2016.0,2.9860700021879225,61.8,20.76875
15,Eli Manning,QB,2016.0,-3.027658946767417,92.8,14.0125
16,Geno Smith,QB,2016.0,-1.2211074830890736,403.0,3.95
17,Jay Cutler,QB,2016.0,-6.596883536597819,221.7,9.36
18,Jimmy Garoppolo,QB,2016.0,-6.3583733716948245,286.0,6.0
19,Joe Flacco,QB,2016.0,-0.9161643844489866,204.3,15.15625
20,Josh McCown,QB,2016.0,4.001455837316241,372.0,10.42
21,Kirk Cousins,QB,2016.0,2.722991931545064,120.5,18.76875
22,Matt Ryan,QB,2016.0,6.975543646546104,155.3,21.71875
23,Matthew Stafford,QB,2016.0,2.004514262849733,130.0,17.4875
24,Nick Foles,QB,2016.0,4.736450969385277,422.0,9.333333333333334
25,Philip Rivers,QB,2016.0,-0.5329642614532233,102.5,16.18125
26,Russell Wilson,QB,2016.0,-1.085612175530855,53.5,16.88125
27,Ryan Fitzpatrick,QB,2016.0,-5.718001456989004,185.3,9.528571428571428
28,Ryan Tannehill,QB,2016.0,-0.1399070713689703,165.5,14.63076923076923
29,Sam Bradford,QB,2016.0,0.2586261538379286,255.0,14.793333333333331
30,Shaun Hill,QB,2016.0,-3.668255576836657,360.0,3.4
31,Tom Brady,QB,2016.0,4.0092652726025975,72.3,21.55
32,Tony Romo,QB,2016.0,-9.693544692933408,180.0,5.2
33,Tyrod Taylor,QB,2016.0,2.4448882563048877,128.3,18.06
34,Aaron Rodgers,QB,2017.0,-1.0782444696924571,22.8,18.514285714285712
35,Alex Smith,QB,2017.0,5.78944908485907,234.0,19.68
36,Andy Dalton,QB,2017.0,-3.2096491521559187,138.4,13.16875
37,Ben Roethlisberger,QB,2017.0,0.3955310490068697,104.0,17.38
38,Blake Bortles,QB,2017.0,2.515735710631663,251.7,15.60625
39,Brian Hoyer,QB,2017.0,-6.91152279484907,258.7,5.809090909090909
40,Brock Osweiler,QB,2017.0,0.918226232283928,309.0,11.316666666666668
41,Cam Newton,QB,2017.0,1.1301190739082188,86.8,18.71875
42,Carson Palmer,QB,2017.0,-1.3201597763431838,149.2,14.614285714285714
43,Derek Carr,QB,2017.0,-3.8929539005856686,85.2,13.76
44,Drew Brees,QB,2017.0,-2.602852364000487,42.8,16.4125
45,Eli Manning,QB,2017.0,-3.931333649084671,137.2,12.486666666666668
46,Jameis Winston,QB,2017.0,-2.286363730464288,81.4,15.515384615384615
47,Jay Cutler,QB,2017.0,-3.286726607860352,192.7,11.271428571428572
48,Jimmy Garoppolo,QB,2017.0,0.4125322539905518,219.0,14.65
49,Joe Flacco,QB,2017.0,-3.2184996753228496,183.8,11.5625
50,Josh McCown,QB,2017.0,2.301785950520104,243.0,15.8
51,Kirk Cousins,QB,2017.0,-0.3351153878326087,84.4,17.35
52,Marcus Mariota,QB,2017.0,-3.635701310875804,84.8,14.033333333333331
53,Matt Moore,QB,2017.0,2.1882199952849444,356.0,10.325
54,Matt Ryan,QB,2017.0,-4.3625029692719846,56.0,14.25625
55,Matthew Stafford,QB,2017.0,0.2766928858021771,113.6,17.1
56,Mike Glennon,QB,2017.0,-2.933729384078717,287.0,8.425
57,Philip Rivers,QB,2017.0,0.1284292471990333,120.4,16.9
58,Russell Wilson,QB,2017.0,3.3517333095120563,63.8,21.74375
59,Sam Bradford,QB,2017.0,-0.9108350951367364,198.0,13.5
60,Tom Brady,QB,2017.0,-0.875080612994708,30.8,18.49375
61,Tom Savage,QB,2017.0,-5.101393429894452,285.0,6.3375
62,Trevor Siemian,QB,2017.0,-1.315154596745323,257.7,11.463636363636365
63,Tyrod Taylor,QB,2017.0,-0.5094060624674626,162.3,14.846666666666666
64,Aaron Rodgers,QB,2018.0,0.5241859809918523,24.0,19.5375
65,Andy Dalton,QB,2018.0,1.4898452083269866,192.0,15.863636363636363
66,Ben Roethlisberger,QB,2018.0,4.355595861859534,93.4,21.36875
67,Blake Bortles,QB,2018.0,-1.1810868972403463,187.0,13.323076923076922
68,Case Keenum,QB,2018.0,-0.932111342108744,192.4,13.43125
69,Dak Prescott,QB,2018.0,1.838729282464577,140.8,17.86875
70,Derek Carr,QB,2018.0,-2.497004188924532,140.4,13.55
