,Unnamed: 0_x,season,player_x,pfr_id_x,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,player_id,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,dom,w8dom,yptmpa,ppr_sh,display_name,common_first_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id_y,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_status,draft_round,draft_pick,draft_team,rookie,Unnamed: 0_y,team,player_y,position_y,offense_snaps,team_snaps,merge_year,AVG,adp_percentile,adp_percentile_pos,POS_group,FantPos,Player_fixed,expected_ppr_pg_prev,expected_ppr_pg_curr_hist,Games_G,Fantasy_PPR,ppg_ppr,per_game_perf_rel_expectations,perf_class
58,41.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0021547,0.0,0.0,696.0,22.314243226265525,0.0,10.957601081002895,2.012525979926312,2.133249203533857,93.0,149.0,11.0,0.183585313174946,0.1938718662952646,0.1419239904988123,0.4304754627986307,0.1963840399002493,0.2777777777777778,0.2115384615384615,0.2370809088390136,0.212662787475755,1.3606911447084231,0.1488333066964999,Antonio Gates,Antonio,A.Gates,Antonio,,GAT194627,28495.0,GateAn00,1609.0,434.0,5362.0,32004741-5419-4627-d7b9-c6962c8e21f2,1980-06-18,TE,TE,SLOT_WR,76.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",Kent State; Eastern Michigan; Michigan State; College of the Sequoias,Mid-American Conference,2003.0,2018.0,LAC,ACT,ACT,Active,16.0,,,,,0.0,5740.0,SD,Antonio Gates,TE,497.0,1166.0,2016.0,94.5,0.8301886792452831,0.8648648648648649,TE,TE,Antonio Gates,8.662831672818223,10.744472839711584,14.0,147.8,10.642857142857142,-0.1016156968544415,neutral
60,2385.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0031418,0.0,0.0,439.0,28.54409880396355,0.0,5.738606054782526,1.1849912569590968,1.4224317419874304,57.8,78.8,7.0,0.1631799163179916,0.1933069132540731,0.1387283236994219,0.3994154050802459,0.1868435599778883,0.4444444444444444,0.2068965517241379,0.3156440022111664,0.2383637368711995,1.4142259414225942,0.1367675645653985,Austin Seferian-Jenkins,Austin,A.Seferian-Jenkins,Austin,,SEF177981,41267.0,SefeAu00,8673.0,2977.0,16795.0,32005345-4617-7981-4435-ee8f0a8353f1,1992-09-29,TE,TE,TE,77.0,262.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mvuoyejl5hzfzrkfezuj",Washington,,2014.0,2018.0,JAX,RES,RES,,5.0,,2.0,38.0,TB,0.0,6290.0,TB,Austin Seferian-Jenkins,TE,214.0,1090.0,2016.0,163.7,0.70020964360587,0.7297297297297297,TE,TE,Austin Seferian-Jenkins,8.092008700011387,8.20151205540535,9.0,34.4,8.755555555555555,0.554043500150204,neutral
63,305.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0025549,1.0,0.0,299.0,22.098921315802727,0.0,18.004041053840574,0.9132419247910122,1.2020644213970813,57.8,84.8,12.0,0.0723140495867768,0.0904142727547626,0.0975187536064627,0.1808024925839754,0.1162383177570093,0.1578947368421052,0.1346153846153846,0.1370665272995573,0.1245696015740285,0.8223140495867769,0.0738251527867254,Brent Celek,Brent,B.Celek,Brent,,CEL251361,32355.0,CeleBr00,3778.0,727.0,10605.0,32004345-4c25-1361-4b67-ff5c0162885d,1985-01-25,TE,,,76.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mit6ahic4gkdhy1hkejt",Cincinnati,,2007.0,2017.0,PHI,ACT,UFA,,11.0,,5.0,162.0,PHI,0.0,5331.0,PHI,Brent Celek,TE,600.0,1135.0,2016.0,364.0,0.3228511530398322,0.4459459459459459,TE,TE,Brent Celek,2.4430893418933555,2.4392492661679315,16.0,29.5,5.3,2.8607507338320683,over
64,2188.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0031273,0.0,0.0,305.0,13.53689592594774,0.0,13.429829086348889,0.868928247166103,0.8623951757629681,46.8,69.8,12.0,0.0704225352112676,0.0716972261401034,0.0447227191413237,0.1629915837289841,0.091283676703645,0.1764705882352941,0.0869565217391304,0.1338771324694695,0.1083210590099748,0.676056338028169,0.0666794038975926,Cameron Brate,Cameron,C.Brate,Cameron,,BRA663798,42033.0,BratCa00,9207.0,3770.0,17453.0,32004252-4166-3798-c2b3-ef206ba23ba8,1991-07-03,TE,TE,TE,77.0,245.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jhioqec65qy4z7s6w9a6",Harvard,Ivy League,2014.0,2022.0,TB,ACT,ACT,Active,8.0,A,,,,0.0,6293.0,TB,Cameron Brate,TE,340.0,1090.0,2016.0,260.7,0.5136268343815513,0.5810810810810811,TE,TE,Cameron Brate,,4.87404345994184,15.0,171.0,4.653333333333333,-0.2207101266085063,neutral
65,979.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028112,1.0,0.0,579.0,11.507321260403842,0.0,11.64434567355588,2.535661490153323,1.873096336382928,70.80000000000001,121.8,13.0,0.1964285714285714,0.145367813206126,0.225071225071225,0.410937107707758,0.1757656458055925,0.1428571428571428,0.203125,0.1593113943313677,0.1691839452159026,1.346938775510204,0.1078964619173325,Charles Clay,Charles,C.Clay,Charles,,CLA715825,37249.0,ClayCh00,6326.0,675.0,14145.0,3200434c-4171-5825-3a82-f46dac73acad,1989-02-13,TE,,,75.0,246.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gbfhfjn5cxtou5aazegt",Tulsa,,2011.0,2019.0,ARI,ACT,UFA,,9.0,,6.0,174.0,MIA,0.0,662.0,BUF,Charles Clay,TE,763.0,1071.0,2016.0,162.0,0.7044025157232705,0.7432432432432432,TE,TE,Charles Clay,8.492286427409736,8.18708138066351,15.0,136.2,8.12,-0.06708138066351133,neutral
67,1419.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029697,0.0,0.0,671.0,-12.511758607795873,1.0,11.53641710676351,2.228386623622109,2.2379652749651338,69.10000000000001,123.1,15.0,0.1443298969072164,0.1372188139059304,0.1179589131875414,0.3262698964855691,0.1334964654703643,0.12,0.125,0.1267482327351821,0.1307971723762915,0.8436426116838488,0.1001285158855395,Coby Fleener,Coby,C.Fleener,Coby,,FLE075352,38564.0,FleeCo00,7038.0,548.0,14900.0,3200464c-4507-5352-2c6a-291559123f4a,1988-09-20,TE,,,78.0,251.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/csj8khi0e2rpkvqqjmc1",Stanford,,2012.0,2017.0,NO,RES,UFA,,6.0,,2.0,34.0,IND,0.0,2811.0,IND,Coby Fleener,TE,731.0,1062.0,2016.0,66.0,0.8825995807127882,0.9189189189189187,TE,TE,Coby Fleener,8.844646877724252,11.628498646124752,16.0,137.3,7.69375,-3.9347486461247527,under
68,2014.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030992,0.0,0.0,345.0,15.032761466907749,0.0,19.05735074679174,1.1381348260883442,1.210430919014325,65.2,98.2,10.0,0.1105882352941176,0.1088328075709779,0.1701388888888889,0.2529485989979588,0.1405184174624829,0.2666666666666666,0.1287878787878787,0.2035925420645748,0.1657480673033197,0.9694117647058824,0.1067414509011065,Crockett Gillmore,Crockett,C.Gillmore,Crockett,,GIL677592,41328.0,GillCr00,8734.0,3038.0,16775.0,32004749-4c67-7592-32e9-78d24666a231,1991-11-16,TE,,,78.0,266.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wdnss99dxs771hd8ifpn",Colorado State,,2014.0,2017.0,BAL,RES,UFA,,4.0,,3.0,99.0,BAL,0.0,440.0,BAL,Crockett Gillmore,TE,519.0,1134.0,2016.0,271.0,0.4968553459119497,0.5540540540540541,TE,TE,Crockett Gillmore,3.961300209845105,4.532139731217951,7.0,21.1,14.028571428571428,9.496431697353477,over
70,245.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0024389,0.0,0.0,1164.0,31.93295637495924,1.0,15.75775399016486,3.962222682844163,4.0444460835263145,150.4,244.4,15.0,0.2587548638132296,0.2621031299256924,0.2529644268774703,0.5978147996603984,0.2992299229922992,0.2608695652173913,0.287292817679558,0.2800497441048453,0.2915578514373176,2.116731517509728,0.2023279301952083,Delanie Walker,Delanie,De.Walker,Delanie,,WAL115671,30990.0,WalkHu00,3120.0,2013.0,9761.0,32005741-4c11-5671-e747-a27704ad47c0,1984-08-12,TE,,,74.0,248.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/diknegkpqy0qnri7877z",Central Missouri; Mt. San Antonio,,2006.0,2019.0,TEN,RES,UFA,,14.0,,6.0,175.0,SF,0.0,6517.0,TEN,Delanie Walker,TE,686.0,992.0,2016.0,61.8,0.8930817610062893,0.9324324324324323,TE,TE,Delanie Walker,10.31620269651986,11.833695165739035,15.0,188.1,16.293333333333333,4.4596381675942975,over
74,1414.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0029689,0.0,0.0,176.0,-2.720874768216163,0.0,12.837666189946502,0.7315100895394862,0.5418985796462323,17.0,33.0,12.0,0.0620985010706638,0.0450243028907649,0.0410172272354388,0.1291671939186076,0.0372140662342096,0.05,0.0268456375838926,0.0436070331171048,0.0397712529873677,0.2334047109207709,0.0339659928362633,Dwayne Allen,Dwayne,D.Allen,Dwayne,,ALL164177,38594.0,AlleDw00,7066.0,557.0,14901.0,3200414c-4c16-4177-13ce-60ea9f9f6043,1990-02-24,TE,,,75.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wduwt0ibzoutozuywe4b",Clemson,,2012.0,2018.0,NE,ACT,CUT,,7.0,,3.0,64.0,IND,0.0,2814.0,IND,Dwayne Allen,TE,505.0,1062.0,2016.0,120.0,0.7861635220125787,0.8243243243243243,TE,TE,Dwayne Allen,8.630918762194003,10.288251608197967,14.0,113.6,2.357142857142857,-7.93110875105511,under
76,2345.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0031387,0.0,0.0,375.0,13.788400664867645,0.0,26.81205543911426,1.9244453261481125,1.8378191725742328,83.7,130.70000000000002,14.0,0.1346153846153846,0.1154556650246305,0.1345975948196114,0.2942876089427814,0.1459635770589834,0.1851851851851851,0.1370558375634517,0.1655743811220842,0.1538078986842238,1.0326923076923078,0.1034460924762161,Eric Ebron,Eric,E.Ebron,Eric,,EBR474619,41236.0,EbroEr00,8645.0,2949.0,16732.0,32004542-5247-4619-e13a-2be177a1a622,1993-04-10,TE,TE,TE,76.0,253.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uaxsxymncppase7ihczd",North Carolina,Atlantic Coast Conference,2014.0,2021.0,PIT,RES,RES,R/Injured,8.0,,1.0,10.0,DET,0.0,2160.0,DET,Eric Ebron,TE,613.0,1057.0,2016.0,139.5,0.7568134171907757,0.7837837837837838,TE,TE,Eric Ebron,8.229524541668923,9.12131854779625,13.0,144.2,10.053846153846155,0.9325276060499057,neutral
