season,team_abb,player_id_x,name_short,rank,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,sack,name_first,name_last,name_display,headshot_href,team_x,qualified,pass_attempts,throwaways,spikes,drops,drop_pct,bad_throws,bad_throw_pct,pfr_id_x_x,pocket_time,times_blitzed,times_hurried,times_hit,times_pressured,pressure_pct,batted_balls,on_tgt_throws,on_tgt_pct,rpo_plays,rpo_yards,rpo_pass_att,rpo_pass_yards,rpo_rush_att,rpo_rush_yards,pa_pass_att,pa_pass_yards,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,pass_yards,pass_touchdowns,interceptions_x,passer_rating,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,player_gsis_id_x,player_id_y,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles_x,rushing_fumbles_lost_x,rushing_first_downs,rushing_epa_x,rushing_2pt_conversions_x,fantasy_points_x,games_x,ppr_sh,display_name_x,common_first_name,short_name,football_name_x,suffix_x,esb_id_x,nfl_id_x,pfr_id_y_x,pff_id_x,otc_id_x,smart_id_x,birth_date_x,height_x,weight_x,headshot_x,college_name_x,college_conference_x,rookie_season_x,last_season_x,latest_team_x,status_x,ngs_status_x,ngs_status_short_description_x,years_of_experience_x,pff_position_x,pff_status_x,draft_round_x,draft_pick_x,draft_team_x,rookie_x,Unnamed: 0_x,player_x,pfr_id_x_y,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded,player_display_name,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,avg_rush_yards,player_gsis_id_y,player_first_name,player_last_name,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_id,rushing_fumbles_y,rushing_fumbles_lost_y,rushing_epa_y,rushing_2pt_conversions_y,fantasy_points_y,fantasy_points_ppr,games_y,display_name_y,football_name_y,suffix_y,esb_id_y,nfl_id_y,pfr_id_y_y,pff_id_y,otc_id_y,espn_id,smart_id_y,birth_date_y,position_group,position_x,ngs_position_group,ngs_position,height_y,weight_y,headshot_y,college_name_y,college_conference_y,rookie_season_y,last_season_y,latest_team_y,status_y,ngs_status_y,ngs_status_short_description_y,years_of_experience_y,pff_position_y,pff_status_y,draft_round_y,draft_pick_y,draft_team_y,rookie_y,Unnamed: 0_y,team,player_y,position_y,offense_snaps,team_snaps,offense_snap_percentage,AVG,adp_rank,adp_percentile,adp_percentile_pos,POS_group,FantPos,year,Player_fixed,expected_ppr_pg_prev,expected_ppr_season_prev,expected_ppr_pg_curr_hist,expected_ppr_season_curr_hist,Games_G
2018.0,GB,8439.0,A. Rodgers,16.0,58.0,9.1,737.0,70.0,25.1,17.8,0.0,3.2,54.4,-23.9,Aaron,Rodgers,Aaron Rodgers,https://a.espncdn.com/i/headshots/nfl/players/full/8439.png,Packers,True,597.0,48.0,2.0,27.0,4.9,106.0,19.4,RodgAa00,2.5,153.0,90.0,38.0,177.0,26.0,,,,,,,,,,,,2.9496672268907567,5.983252688172043,8.795344537815126,-2.8120918496430827,13.735343383584588,61.410319165430174,-0.1643193277310926,4442.0,25.0,2.0,97.57467895030707,62.311557788944725,63.35338901516231,-1.0418312262175815,23.270196305162184,63.00048571241336,00-0023459,00-0023459,49.0,353.0,4.0,3.0,5241.0,2134.0,52.81809843791432,2.0,13.611298157500814,1.4524689174493042,43.0,269.0,2.0,2.0,0.0,20.0,21.60011717453403,1.0,312.58,16.0,0.203401962570603,Aaron Rodgers,Aaron,A.Rodgers,Aaron,,ROD339293,29851.0,RodgAa00,2241.0,1085.0,3200524f-4433-9293-a3cf-ad7758d03003,1983-12-02,74.0,223.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",California; Butte College,Pacific Ten Conference,2005.0,2025.0,PIT,ACT,ACT,Active,21.0,QB,A,1.0,24.0,GB,0.0,130.0,Aaron Rodgers,RodgAa00,GB,35.0,QB,16.0,16.0,43.0,269.0,2.0,20.0,256.0,6.0,13.0,0.3,1.0,43.0,2023-08-21,,,,,,,,,,,,,,00-0023459,2.0,0.0,21.60011717453403,1.0,312.58,312.58,16.0,Aaron Rodgers,Aaron,,ROD339293,29851.0,RodgAa00,2241.0,1085.0,8439.0,3200524f-4433-9293-a3cf-ad7758d03003,1983-12-02,QB,QB,QB,QB,74.0,223.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",California; Butte College,Pacific Ten Conference,2005.0,2025.0,PIT,ACT,ACT,Active,21.0,QB,A,1.0,24.0,GB,0.0,2425.0,GB,Aaron Rodgers,QB,1012.0,1067.0,0.9484536082474226,24.0,22,0.9408450704225352,1.0,QB,QB,2018,Aaron Rodgers,18.172869729753558,290.76591567605686,19.01331401900815,304.2130243041304,16
2018.0,IND,14874.0,A. Luck,4.5,69.6,42.9,741.0,103.0,84.4,5.0,0.0,4.3,69.4,-9.3,Andrew,Luck,Andrew Luck,https://a.espncdn.com/i/headshots/nfl/players/full/14874.png,Colts,True,639.0,8.0,2.0,37.0,5.9,88.0,14.0,LuckAn00,2.3,154.0,50.0,51.0,119.0,17.6,,,,,,,,,,,,2.631750392464678,6.069046511627907,7.600377358490568,-1.5313308468626603,17.996870109546165,51.65994967090076,-1.1622012578616354,4593.0,39.0,15.0,98.67305685967658,67.2926447574335,66.01567921958899,1.2769655378445035,20.02166713142942,61.802020193517954,00-0029668,00-0029668,18.0,134.0,5.0,1.0,4770.0,1968.0,111.17987004126816,2.0,16.245119955396497,2.1688537776854284,46.0,148.0,0.0,1.0,0.0,12.0,-9.114091660718213,0.0,326.92,16.0,0.1950627565284635,Andrew Luck,Andrew,A.Luck,Andrew,,LUC524055,38531.0,LuckAn00,7007.0,538.0,32004c55-4352-4055-1f10-c37ee3d83442,1989-09-12,76.0,240.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ojix2ha2u58zqozaw756",Stanford,,2012.0,2018.0,IND,ACT,CUT,,7.0,QB,,1.0,1.0,IND,0.0,1399.0,Andrew Luck,LuckAn00,IND,29.0,QB,16.0,16.0,46.0,148.0,0.0,12.0,90.0,2.0,58.0,1.3,1.0,46.0,2023-08-21,,,,,,,,,,,,,,00-0029668,1.0,0.0,-9.114091660718213,0.0,326.92,327.92,16.0,Andrew Luck,Andrew,,LUC524055,38531.0,LuckAn00,7007.0,538.0,14874.0,32004c55-4352-4055-1f10-c37ee3d83442,1989-09-12,QB,QB,,,76.0,240.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ojix2ha2u58zqozaw756",Stanford,,2012.0,2018.0,IND,ACT,CUT,,7.0,QB,,1.0,1.0,IND,0.0,2867.0,IND,Andrew Luck,QB,1119.0,1120.0,0.9991071428571427,85.6,78,0.7830985915492958,0.8181818181818181,QB,QB,2018,Andrew Luck,,,17.250638775060516,276.01022040096825,16
2018.0,CIN,14012.0,A. Dalton,15.0,59.4,15.4,433.0,50.6,35.4,2.0,0.0,3.4,62.3,-9.8,Andy,Dalton,Andy Dalton,https://a.espncdn.com/i/headshots/nfl/players/full/14012.png,Bengals,True,365.0,9.0,3.0,18.0,5.1,55.0,15.6,DaltAn00,2.3,100.0,54.0,15.0,90.0,22.6,,,,,,,,,,,,2.608201657458564,6.150221238938053,8.367611111111112,-2.217389872173059,17.26027397260274,47.45602701448995,-0.6073888888888891,2566.0,21.0,11.0,89.5947488584475,61.917808219178085,62.49198523592459,-0.5741770167465035,21.673413552413106,55.22472815686828,00-0027973,00-0027973,21.0,157.0,1.0,0.0,2947.0,1142.0,27.37702385996771,0.0,10.20575476758478,0.9252197597222712,16.0,99.0,0.0,0.0,0.0,4.0,-3.237778376951241,0.0,174.54,11.0,0.1744353387967219,Andy Dalton,Andy,A.Dalton,Andy,,DAL659900,37110.0,DaltAn00,6187.0,160.0,32004441-4c65-9900-551d-a31a0423b3ca,1987-10-29,74.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nyjb97rajdqckaxsoniv",TCU,Mountain West Conference,2011.0,2025.0,CAR,ACT,ACT,Active,15.0,QB,A,2.0,35.0,CIN,0.0,835.0,Andy Dalton,DaltAn00,CIN,31.0,QB,11.0,11.0,16.0,99.0,0.0,4.0,63.0,3.9,36.0,2.3,1.0,16.0,2023-08-21,,,,,,,,,,,,,,00-0027973,0.0,0.0,-3.237778376951241,0.0,174.54,174.54,11.0,Andy Dalton,Andy,,DAL659900,37110.0,DaltAn00,6187.0,160.0,14012.0,32004441-4c65-9900-551d-a31a0423b3ca,1987-10-29,QB,QB,QB,QB,74.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nyjb97rajdqckaxsoniv",TCU,Mountain West Conference,2011.0,2025.0,CAR,ACT,ACT,Active,15.0,QB,A,2.0,35.0,CIN,0.0,1367.0,CIN,Andy Dalton,QB,627.0,995.0,0.6301507537688442,192.0,184,0.4845070422535211,0.4545454545454546,QB,QB,2018,Andy Dalton,14.88942197380303,238.23075158084848,14.373791155309377,229.98065848495,11
2018.0,PIT,5536.0,B. Roethlisberger,4.5,69.6,48.2,762.0,113.5,89.3,8.7,0.0,5.1,71.0,-10.4,Ben,Roethlisberger,Ben Roethlisberger,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png,Steelers,True,675.0,7.0,3.0,24.0,3.6,122.0,18.3,RoetBe00,2.3,164.0,58.0,37.0,119.0,16.7,,,,,,,,,,,,2.552903273809524,4.809579646017699,7.670119047619047,-2.860539401601348,16.88888888888889,52.86311473986375,-0.8938690476190474,5130.0,34.0,16.0,96.46604938271604,66.96296296296296,66.43375580288746,0.5292071600755008,20.321761963535437,59.28813118997765,00-0022924,00-0022924,24.0,166.0,7.0,2.0,5254.0,2802.0,142.84618901639533,4.0,17.546766993014014,2.58144635131704,31.0,98.0,3.0,0.0,0.0,13.0,11.136703057476552,0.0,340.86,16.0,0.1964870736725943,Ben Roethlisberger,Ben,B.Roethlisberger,Ben,,ROE750381,28963.0,RoetBe00,1732.0,1580.0,3200524f-4575-0381-afea-aa103cf4a1e3,1982-03-02,77.0,240.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",Miami (Ohio),Mid-American Conference,2004.0,2021.0,PIT,ACT,ACT,Active,18.0,QB,,1.0,11.0,PIT,0.0,94.0,Ben Roethlisberger,RoetBe00,PIT,36.0,QB,16.0,16.0,31.0,98.0,3.0,13.0,66.0,2.1,32.0,1.0,0.0,,2023-08-21,,,,,,,,,,,,,,00-0022924,0.0,0.0,11.136703057476552,0.0,340.86,341.86,16.0,Ben Roethlisberger,Ben,,ROE750381,28963.0,RoetBe00,1732.0,1580.0,5536.0,3200524f-4575-0381-afea-aa103cf4a1e3,1982-03-02,QB,QB,QB,QB,77.0,240.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",Miami (Ohio),Mid-American Conference,2004.0,2021.0,PIT,ACT,ACT,Active,18.0,QB,,1.0,11.0,PIT,0.0,5591.0,PIT,Ben Roethlisberger,QB,1086.0,1106.0,0.9819168173598554,93.4,87,0.7577464788732394,0.7727272727272727,QB,QB,2018,Ben Roethlisberger,16.65819095071734,266.53105521147745,17.013154138140465,272.21046621024743,16
2018.0,JAX,16724.0,B. Bortles,30.0,43.4,-12.2,515.0,30.5,9.3,11.6,0.0,-1.6,41.7,-11.2,Blake,Bortles,Blake Bortles,https://a.espncdn.com/i/headshots/nfl/players/full/16724.png,Jaguars,True,403.0,12.0,0.0,24.0,6.1,70.0,17.9,BortBl00,2.4,128.0,30.0,31.0,92.0,19.4,,,,,,,,,,,,2.7661215880893297,4.917119341563786,6.975831265508687,-2.0587119239449008,16.87344913151365,46.829893230713225,-1.592406947890819,2718.0,13.0,11.0,79.81286186931348,60.297766749379655,67.22558497014471,-6.927818220765055,18.413028039080157,49.135343694737706,00-0031407,00-0031407,31.0,173.0,5.0,2.0,2889.0,1480.0,-22.41252092939936,0.0,13.390729856764102,0.5711702360729017,58.0,365.0,1.0,3.0,2.0,28.0,15.997698533858063,0.0,173.22,13.0,0.1785846839044909,Blake Bortles,Blake,B.Bortles,Blake,,BOR650964,41229.0,BortBl00,8638.0,2942.0,3200424f-5265-0964-4a57-fb0d82ae917e,1992-04-28,77.0,236.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jvoui3bptgsfvgkz5e1b",UCF,American Athletic Conference,2014.0,2021.0,NO,DEV,RES,Reserve/Future,7.0,QB,,1.0,3.0,JAX,0.0,2363.0,Blake Bortles,BortBl00,JAX,26.0,QB,13.0,12.0,58.0,365.0,1.0,28.0,288.0,5.0,77.0,1.3,2.0,29.0,2023-08-21,,,,,,,,,,,,,,00-0031407,3.0,2.0,15.997698533858063,0.0,173.22,173.22,13.0,Blake Bortles,Blake,,BOR650964,41229.0,BortBl00,8638.0,2942.0,16724.0,3200424f-5265-0964-4a57-fb0d82ae917e,1992-04-28,QB,QB,,,77.0,236.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jvoui3bptgsfvgkz5e1b",UCF,American Athletic Conference,2014.0,2021.0,NO,DEV,RES,Reserve/Future,7.0,QB,,1.0,3.0,JAX,0.0,3089.0,JAX,Blake Bortles,QB,777.0,1014.0,0.7662721893491125,187.0,179,0.4985915492957746,0.4772727272727273,QB,QB,2018,Blake Bortles,14.177474325236147,226.8395892037784,14.504163820317268,232.06662112507627,13
2018.0,DEN,15168.0,C. Keenum,29.0,44.5,-8.8,685.0,50.6,26.9,4.2,0.0,3.5,45.5,-16.0,Case,Keenum,Case Keenum,https://a.espncdn.com/i/headshots/nfl/players/full/15168.png,Broncos,True,586.0,35.0,2.0,34.0,6.2,95.0,17.3,KeenCa00,2.3,180.0,77.0,51.0,162.0,25.6,,,,,,,,,,,,2.684520547945205,5.569013698630137,7.453825042881647,-1.88481134425151,16.040955631399317,55.2887294120601,-1.4998627787307035,3890.0,18.0,15.0,81.22155858930604,62.28668941979522,63.794611128994326,-1.5079217091991026,20.74204495683441,55.2887294120601,00-0028986,00-0028986,34.0,235.0,8.0,1.0,4369.0,1795.0,-16.750758365198063,0.0,14.75515451799544,0.7485003769412044,26.0,93.0,2.0,3.0,1.0,11.0,4.1193808853277005,0.0,214.9,16.0,0.1573321619445054,Case Keenum,Case,C.Keenum,Case,,KEE690598,38937.0,KeenCa00,7323.0,1651.0,32004b45-4569-0598-1a82-7cad5305e148,1988-02-17,73.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/weixhyzal4ntsyszyepu",Houston,American Athletic Conference,2012.0,2025.0,CHI,ACT,ACT,Inactive/3rd QB,13.0,QB,IR,,,,0.0,1107.0,Case Keenum,KeenCa00,DEN,30.0,QB,16.0,16.0,26.0,93.0,2.0,11.0,57.0,2.2,36.0,1.4,3.0,8.7,2023-08-21,,,,,,,,,,,,,,00-0028986,3.0,1.0,4.1193808853277005,0.0,214.9,214.9,16.0,Case Keenum,Case,,KEE690598,38937.0,KeenCa00,7323.0,1651.0,15168.0,32004b45-4569-0598-1a82-7cad5305e148,1988-02-17,QB,QB,QB,QB,73.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/weixhyzal4ntsyszyepu",Houston,American Athletic Conference,2012.0,2025.0,CHI,ACT,ACT,Inactive/3rd QB,13.0,QB,IR,,,,0.0,1999.0,DEN,Case Keenum,QB,1073.0,1073.0,1.0,192.4,185,0.4816901408450704,0.4318181818181817,QB,QB,2018,Case Keenum,,,14.363361342108744,229.8137814737399,16
2018.0,DAL,2577417.0,D. Prescott,17.0,55.2,12.2,693.0,71.7,35.1,12.2,0.0,2.1,56.2,-22.3,Dak,Prescott,Dak Prescott,https://a.espncdn.com/i/headshots/nfl/players/full/2577417.png,Cowboys,True,526.0,13.0,0.0,22.0,4.3,89.0,17.3,PresDa01,2.4,168.0,73.0,49.0,178.0,29.1,,,,,,,,,,,,2.8239980988593154,5.502359550561797,7.573047619047619,-2.070688068485822,17.680608365019012,48.22041476387361,-1.5202857142857145,3885.0,22.0,8.0,96.86311787072243,67.68060836501901,65.40388483837417,2.276723526644844,20.953584885404787,60.99462025457656,00-0033077,00-0033077,56.0,347.0,8.0,5.0,3973.0,1892.0,24.431834138462087,1.0,16.212042268799262,1.4798813017555623,75.0,305.0,6.0,4.0,1.0,25.0,8.498345463682835,1.0,285.90000000000003,16.0,0.2092665788317962,Dak Prescott,Dak,D.Prescott,Dak,,PRE285723,43424.0,PresDa01,10769.0,4848.0,32005052-4528-5723-d1b2-96e92ebc1241,1993-07-29,74.0,238.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn",Mississippi State,Southeastern Conference,2016.0,2025.0,DAL,ACT,ACT,Active,10.0,QB,A,4.0,135.0,DAL,0.0,3375.0,Dak Prescott,PresDa01,DAL,25.0,QB,16.0,16.0,75.0,305.0,6.0,25.0,186.0,2.5,119.0,1.6,2.0,37.5,2023-08-21,,,,,,,,,,,,,,00-0033077,4.0,1.0,8.498345463682835,1.0,285.90000000000003,285.90000000000003,16.0,Dak Prescott,Dak,,PRE285723,43424.0,PresDa01,10769.0,4848.0,2577417.0,32005052-4528-5723-d1b2-96e92ebc1241,1993-07-29,QB,QB,QB,QB,74.0,238.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn",Mississippi State,Southeastern Conference,2016.0,2025.0,DAL,ACT,ACT,Active,10.0,QB,A,4.0,135.0,DAL,0.0,1799.0,DAL,Dak Prescott,QB,1070.0,1070.0,1.0,140.8,133,0.6281690140845071,0.5909090909090908,QB,QB,2018,Dak Prescott,16.90649342677662,270.5038948284259,16.03002071753542,256.48033148056675,16
2018.0,OAK,16757.0,D. Carr,27.0,46.5,-5.9,669.0,50.8,27.3,2.5,0.0,0.2,46.9,-20.9,Derek,Carr,Derek Carr,https://a.espncdn.com/i/headshots/nfl/players/full/16757.png,Raiders,True,553.0,21.0,7.0,33.0,6.3,66.0,12.6,CarrDe02,2.3,141.0,69.0,28.0,148.0,24.2,,,,,,,,,,,,2.5574212454212457,4.978372703412075,6.731724770642201,-1.7533520672301268,13.200723327305605,49.66691051394278,-1.993045871559633,4049.0,19.0,10.0,93.92329716696808,68.89692585895118,67.71559104538956,1.1813348135616195,19.40066887403654,60.40514713168075,00-0031280,00-0031280,51.0,299.0,11.0,7.0,3778.0,1994.0,-1.20584695851284,1.0,18.300894347909765,1.6991331607954,24.0,47.0,1.0,1.0,0.0,5.0,-3.560366087593138,0.0,215.76,16.0,0.164364033424832,Derek Carr,Derek,D.Carr,Derek,,CAR358797,41265.0,CarrDe02,8671.0,2975.0,32004341-5235-8797-3b9a-0d2711c0bc27,1991-03-28,75.0,215.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",Fresno State,Mountain West Conference,2014.0,2024.0,NO,ACT,RET,R/Retired,11.0,QB,A,2.0,36.0,LV,0.0,2201.0,Derek Carr,CarrDe02,LV,27.0,QB,16.0,16.0,24.0,47.0,1.0,5.0,34.0,1.4,13.0,0.5,0.0,,2023-08-21,,,,,,,,,,,,,,00-0031280,1.0,0.0,-3.560366087593138,0.0,215.76,216.76,16.0,Derek Carr,Derek,,CAR358797,41265.0,CarrDe02,8671.0,2975.0,16757.0,32004341-5235-8797-3b9a-0d2711c0bc27,1991-03-28,QB,QB,,,75.0,215.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",Fresno State,Mountain West Conference,2014.0,2024.0,NO,ACT,RET,R/Retired,11.0,QB,A,2.0,36.0,LV,0.0,5280.0,OAK,Derek Carr,QB,1030.0,1036.0,0.9942084942084942,140.4,132,0.6309859154929578,0.6136363636363636,QB,QB,2018,Derek Carr,16.250061203720836,260.0009792595334,16.047004188924532,256.7520670227925,16
2018.0,HOU,3122840.0,D. Watson,13.0,61.8,21.5,702.0,79.5,31.8,17.0,0.0,3.8,60.7,-26.8,Deshaun,Watson,Deshaun Watson,https://a.espncdn.com/i/headshots/nfl/players/full/3122840.png,Texans,True,505.0,13.0,6.0,17.0,3.5,84.0,17.3,WatsDe00,2.5,163.0,77.0,59.0,198.0,31.7,,,,,,,,,,,,3.011364729458918,6.772115942028986,8.765230460921844,-1.9931145188928576,14.455445544554454,61.27838281155925,-0.2127254509018034,4165.0,26.0,9.0,103.11468646864688,68.31683168316832,64.7156846323189,3.60114705084942,21.2213348776546,63.813078596789225,00-0033537,00-0033537,62.0,384.0,6.0,2.0,4320.0,1753.0,61.10264543369625,0.0,16.436398077545327,2.2296783059014187,99.0,551.0,5.0,3.0,1.0,33.0,9.934913469276978,0.0,331.7,16.0,0.2316017316017316,Deshaun Watson,Deshaun,D.Watson,Deshaun,,WAT338355,44824.0,WatsDe00,11767.0,5596.0,32005741-5433-8355-e029-e49022cf4b81,1995-09-14,75.0,223.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn",Clemson,Atlantic Coast Conference,2017.0,2025.0,CLE,PUP,RES,R/PUP,9.0,QB,A,1.0,12.0,HOU,0.0,3689.0,Deshaun Watson,WatsDe00,HOU,23.0,QB,16.0,16.0,99.0,551.0,5.0,33.0,452.0,4.6,99.0,1.0,5.0,19.8,2023-08-21,,,,,,,,,,,,,,00-0033537,3.0,1.0,9.934913469276978,0.0,331.7,331.7,16.0,Deshaun Watson,Deshaun,,WAT338355,44824.0,WatsDe00,11767.0,5596.0,3122840.0,32005741-5433-8355-e029-e49022cf4b81,1995-09-14,QB,QB,,,75.0,223.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn",Clemson,Atlantic Coast Conference,2017.0,2025.0,CLE,PUP,RES,R/PUP,9.0,QB,A,1.0,12.0,HOU,0.0,2648.0,HOU,Deshaun Watson,QB,1093.0,1093.0,1.0,37.4,34,0.9070422535211268,0.9772727272727272,QB,QB,2018,Deshaun Watson,13.579372267083608,217.26995627333773,18.650225600768795,298.4036096123007,16
2018.0,NO,2580.0,D. Brees,2.0,79.2,56.1,562.0,100.5,80.2,5.4,0.0,6.2,80.4,-8.7,Drew,Brees,Drew Brees,https://a.espncdn.com/i/headshots/nfl/players/full/2580.png,Saints,True,489.0,13.0,0.0,22.0,4.6,49.0,10.3,BreeDr00,2.4,137.0,43.0,24.0,84.0,16.5,,,,,,,,,,,,2.5861881390593044,5.877142857142856,7.113394683026585,-1.2362518258837287,15.541922290388548,45.52012412109616,-1.571676891615542,3992.0,32.0,5.0,115.68251533742333,74.43762781186093,67.27855876545233,7.159069046408604,20.191192865277053,51.34780618488,00-0020531,00-0020531,17.0,121.0,3.0,1.0,3502.0,1827.0,159.19895505122125,1.0,18.77312888704433,3.1604980834647027,31.0,22.0,4.0,0.0,0.0,11.0,7.614698947552824,0.0,303.98,15.0,0.194138541255554,Drew Brees,Drew,D.Brees,Drew,,BRE229498,26250.0,BreeDr00,802.0,1492.0,32004252-4522-9498-de45-55dc89e02748,1979-01-15,72.0,209.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt6nv11jgsirnuymookt",Purdue,Big Ten Conference,2001.0,2020.0,NO,ACT,RET,R/Retired,20.0,QB,,2.0,32.0,LAC,0.0,24.0,Drew Brees,BreeDr00,NO,39.0,QB,15.0,15.0,31.0,22.0,4.0,11.0,17.0,0.5,5.0,0.2,1.0,31.0,2023-08-21,,,,,,,,,,,,,,00-0020531,0.0,0.0,7.614698947552824,0.0,303.98,304.98,15.0,Drew Brees,Drew,,BRE229498,26250.0,BreeDr00,802.0,1492.0,2580.0,32004252-4522-9498-de45-55dc89e02748,1979-01-15,QB,QB,,,72.0,209.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt6nv11jgsirnuymookt",Purdue,Big Ten Conference,2001.0,2020.0,NO,ACT,RET,R/Retired,20.0,QB,,2.0,32.0,LAC,0.0,4596.0,NO,Drew Brees,QB,979.0,1031.0,0.9495635305528612,60.8,57,0.8422535211267606,0.8863636363636364,QB,QB,2018,Drew Brees,17.321407793482074,277.1425246957132,17.96720056268123,287.4752090028997,15
