,Player_fixed,POS_group,merge_year,per_game_perf_rel_expectations,AVG_ADP
0,Aaron Rodgers,QB,2016.0,5.471796785212664,40.5
1,Alex Smith,QB,2016.0,-0.8050198714461221,227.7
2,Andrew Luck,QB,2016.0,2.5464711578024755,53.5
3,Andy Dalton,QB,2016.0,1.5684863994254332,154.0
4,Ben Roethlisberger,QB,2016.0,0.4205534514641442,70.0
5,Blaine Gabbert,QB,2016.0,-0.9976522897863608,274.0
6,Blake Bortles,QB,2016.0,-0.1055351690036623,92.3
7,Brian Hoyer,QB,2016.0,6.604480723675571,367.5
8,Brock Osweiler,QB,2016.0,-4.803869133085252,205.8
9,Cam Newton,QB,2016.0,-1.4726087530485472,34.3
10,Carson Palmer,QB,2016.0,-1.2127077115365097,80.3
11,Case Keenum,QB,2016.0,-1.326726437518877,285.0
12,Colin Kaepernick,QB,2016.0,8.684248610857034,342.5
13,Derek Carr,QB,2016.0,1.543038500598616,111.3
14,Drew Brees,QB,2016.0,2.9860700021879225,61.8
15,Eli Manning,QB,2016.0,-3.027658946767417,92.8
16,Geno Smith,QB,2016.0,-1.2211074830890736,403.0
17,Jay Cutler,QB,2016.0,-6.596883536597819,221.7
18,Jimmy Garoppolo,QB,2016.0,-6.3583733716948245,286.0
19,Joe Flacco,QB,2016.0,-0.9161643844489866,204.3
20,Josh McCown,QB,2016.0,4.001455837316241,372.0
21,Kirk Cousins,QB,2016.0,2.722991931545064,120.5
22,Matt Ryan,QB,2016.0,6.975543646546104,155.3
23,Matthew Stafford,QB,2016.0,2.004514262849733,130.0
24,Nick Foles,QB,2016.0,4.736450969385277,422.0
25,Philip Rivers,QB,2016.0,-0.5329642614532233,102.5
26,Russell Wilson,QB,2016.0,-1.085612175530855,53.5
27,Ryan Fitzpatrick,QB,2016.0,-5.718001456989004,185.3
28,Ryan Tannehill,QB,2016.0,-0.1399070713689703,165.5
29,Sam Bradford,QB,2016.0,0.2586261538379286,255.0
30,Shaun Hill,QB,2016.0,-3.668255576836657,360.0
31,Tom Brady,QB,2016.0,4.0092652726025975,72.3
32,Tony Romo,QB,2016.0,-9.693544692933408,180.0
33,Tyrod Taylor,QB,2016.0,2.4448882563048877,128.3
34,Jameis Winston,QB,2017.0,-2.286363730464288,81.4
35,Marcus Mariota,QB,2017.0,-3.635701310875804,84.8
36,Matt Moore,QB,2017.0,2.1882199952849444,356.0
37,Mike Glennon,QB,2017.0,-2.933729384078717,287.0
38,Tom Savage,QB,2017.0,-5.101393429894452,285.0
39,Trevor Siemian,QB,2017.0,-1.315154596745323,257.7
40,Dak Prescott,QB,2018.0,1.838729282464577,140.8
41,Jared Goff,QB,2018.0,2.847230352798139,111.6
42,Teddy Bridgewater,QB,2018.0,-6.923395811556274,341.5
43,Carson Wentz,QB,2019.0,-0.7397575739206843,72.5
44,Deshaun Watson,QB,2019.0,2.479563480338044,38.0
45,Jacoby Brissett,QB,2019.0,0.8167567585055284,243.0
46,Mitchell Trubisky,QB,2019.0,-2.1809878276067405,146.5
47,Baker Mayfield,QB,2020.0,-0.2453971984412675,148.3
48,Colt McCoy,QB,2020.0,-4.427421859526254,345.0
49,Josh Allen,QB,2020.0,7.417449991735211,93.8
50,Kyle Allen,QB,2020.0,3.653196399768693,383.5
51,Lamar Jackson,QB,2020.0,2.8685499062746764,21.0
52,Mason Rudolph,QB,2020.0,-5.174170744433113,348.5
53,Matt Barkley,QB,2020.0,-9.424746550143835,279.0
54,Sam Darnold,QB,2020.0,-2.827863263628592,218.3
55,Chad Henne,QB,2021.0,-4.592629701933505,441.0
56,Daniel Jones,QB,2021.0,1.1082557570646738,207.2
57,Drew Lock,QB,2021.0,-1.7941984623038003,296.0
58,Kyler Murray,QB,2021.0,2.0487056320451025,40.2
59,Taylor Heinicke,QB,2021.0,8.391329519639644,437.0
60,Jalen Hurts,QB,2022.0,5.895465231488572,55.3
61,Joe Burrow,QB,2022.0,2.784519433029214,60.3
62,Justin Herbert,QB,2022.0,-3.4274789135338324,34.5
63,Tua Tagovailoa,QB,2022.0,1.9729724007138485,140.5
64,C.J. Beathard,QB,2023.0,-3.531387931264081,405.0
65,Cooper Rush,QB,2023.0,-10.10811535280834,290.0
66,Jarrett Stidham,QB,2023.0,-0.2473396421774936,320.0
67,Jordan Love,QB,2023.0,4.248777641903009,189.0
68,Justin Fields,QB,2023.0,-2.0687011269732096,44.3
69,Mac Jones,QB,2023.0,-3.9797101313482175,222.7
70,Mike White,QB,2023.0,-4.349054432011112,483.0
71,Nick Mullens,QB,2023.0,7.022303788493037,416.0
72,Trevor Lawrence,QB,2023.0,-2.8861016371828576,55.0
73,Zach Wilson,QB,2023.0,-1.3006953797329164,275.0
74,Bailey Zappe,QB,2024.0,1.816316135924052,462.0
75,Brock Purdy,QB,2024.0,0.2646379401463683,91.8
76,Joshua Dobbs,QB,2024.0,6.124626622833032,307.0
77,Kenny Pickett,QB,2024.0,-5.064871074876449,290.5
78,Adrian Peterson,RB,2016.0,-10.967211426236066,10.8
79,Alfred Blue,RB,2016.0,-1.143806086089457,253.5
80,Alfred Morris,RB,2016.0,-3.6680240542509375,153.0
81,Andre Ellington,RB,2016.0,-3.880211407585452,249.3
82,Andre Williams,RB,2016.0,4.422592649042867,278.0
83,Antonio Andrews,RB,2016.0,-4.351655555350906,275.0
84,Arian Foster,RB,2016.0,-5.684525089817778,66.5
85,Bilal Powell,RB,2016.0,3.8786060796364743,110.3
86,Bobby Rainey,RB,2016.0,-0.6433913739996258,405.0
87,Brandon Bolden,RB,2016.0,-3.4318253206424933,358.0
88,Carlos Hyde,RB,2016.0,3.013862193216026,43.3
89,Charcandrick West,RB,2016.0,0.3401933077894776,185.7
90,Charles Sims,RB,2016.0,0.2450134941594566,91.0
91,Chris Ivory,RB,2016.0,-0.7438910437533437,93.5
92,Chris Johnson,RB,2016.0,-2.1228511163453696,176.0
93,Chris Thompson,RB,2016.0,3.02032512761697,161.7
94,Christine Michael,RB,2016.0,2.3972625634162714,148.8
95,C.J. Anderson,RB,2016.0,2.59110333314678,35.3
96,C.J. Spiller,RB,2016.0,-2.860927273824792,208.0
97,Cordarrelle Patterson,RB,2016.0,0.8362001053284933,308.0
98,Damien Williams,RB,2016.0,3.1756651813062624,310.0
99,Danny Woodhead,RB,2016.0,2.431897821626288,55.8
100,Darren McFadden,RB,2016.0,-1.5943827937850577,218.3
101,Darren Sproles,RB,2016.0,3.11877689011626,125.5
102,DeAngelo Williams,RB,2016.0,1.3943748133511935,84.5
103,DeMarco Murray,RB,2016.0,6.676494720893961,45.0
104,Denard Robinson,RB,2016.0,-5.210183089565149,300.0
105,Devonta Freeman,RB,2016.0,4.355996223007466,17.5
106,Dion Lewis,RB,2016.0,0.465424777433002,134.5
107,Doug Martin,RB,2016.0,-1.7504303391629783,29.5
108,Eddie Lacy,RB,2016.0,-4.163839113376838,25.8
109,Fitzgerald Toussaint,RB,2016.0,-2.964664521295563,357.0
110,Fozzy Whittaker,RB,2016.0,0.9849139510462428,336.0
111,Frank Gore,RB,2016.0,3.425618418865604,78.5
112,Giovani Bernard,RB,2016.0,1.453591626861142,62.0
113,Isaiah Crowell,RB,2016.0,4.434131567908802,111.3
114,Isaiah Pead,RB,2016.0,-2.328034589649213,369.0
115,Jacquizz Rodgers,RB,2016.0,6.018381386397053,313.0
116,Jamaal Charles,RB,2016.0,-8.577693136636737,21.8
117,James Starks,RB,2016.0,0.3058248142091448,160.3
118,James White,RB,2016.0,2.56552998440716,129.8
119,Jamize Olawale,RB,2016.0,0.1060490415937938,379.0
120,Jeremy Hill,RB,2016.0,0.8584770904131851,59.8
121,Jerick McKinnon,RB,2016.0,3.113850080094406,147.8
122,Jonathan Grimes,RB,2016.0,0.0981275382183599,322.0
